"school","color","alt_color","logo"
"Mississippi State","#762123","#c8c8c8","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png"
"Missouri","Yellow","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png"
"Navy","#131630","#b6a77c","http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png"
"NC State","#EF1216","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png"
"Nebraska","#F20017","#f5f1e7","http://a.espncdn.com/i/teamlogos/ncaa/500/158.png"
"Nevada","#153E5F","#8e9295","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png"
"New Mexico","gray","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png"
"New Mexico State","#891216","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png"
"North Carolina","#99bfe5","#13294b","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png"
"Northern Illinois","#F1122C","black","http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png"
"North Texas","#00853D","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png"
"Northwestern","#372286","#d6cac1","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png"
"Notre Dame","#00122b","#ae9142","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png"
"Ohio","#295A29","#e4bb85","http://a.espncdn.com/i/teamlogos/ncaa/500/195.png"
"Ohio State","#DE3121","#666666","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"Oklahoma","#7b0000","#cccccc","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png"
"Oklahoma State","#FF6500","#ff9900","http://a.espncdn.com/i/teamlogos/ncaa/500/197.png"
"Old Dominion","#00507d","#a1d2f1","http://a.espncdn.com/i/teamlogos/ncaa/500/295.png"
"Ole Miss","#001148","red","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"Oregon","#044520","#fee123","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png"
"Oregon State","#c34500","black","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png"
"Penn State","#00265D","white","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png"
"Pittsburgh","#003263","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png"
"Purdue","#a4a9ad","black","http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png"
"Rice","#003D7D","#d1d5d8","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png"
"Rutgers","#d21034","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png"
"San Diego State","#BF2C37","#a8996e","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png"
"San José State","#005893","#fdba31","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png"
"SMU","#E32F38","#ecdcb9","http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png"
"South Alabama","#003E7E","red","http://a.espncdn.com/i/teamlogos/ncaa/500/6.png"
"South Carolina","#670010","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png"
"Southern Mississippi","#FFAA3C","#ffc423","http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png"
"South Florida","#004A36","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/58.png"
"Stanford","#A80532","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png"
"Syracuse","#F37321","#0d1d37","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png"
"TCU","#3C377D","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png"
"Temple","#A80532","#a7a9ac","http://a.espncdn.com/i/teamlogos/ncaa/500/218.png"
"Tennessee","#EE9627","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png"
"Texas","#EE7524","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png"
"Texas A&M","#5C0025","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png"
"Texas State","#4e1719","#b4975a","http://a.espncdn.com/i/teamlogos/ncaa/500/326.png"
"Texas Tech","#C80025","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png"
"Toledo","#ffffff","#ffd51d","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png"
"Troy","#AE0210","#88898c","http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png"
"Tulane","#005837","#3baf29","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png"
"Tulsa","#004371","#ee3b33","http://a.espncdn.com/i/teamlogos/ncaa/500/202.png"
"UAB","#003b28","#ffc845","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png"
"UCF","gray","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png"
"UCLA","#005C8E","#ffc72c","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
"UMass","#880007","white","http://a.espncdn.com/i/teamlogos/ncaa/500/113.png"
"UNLV","#c2c4c6","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png"
"USC","#ae2531","#ffc72c","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png"
"Utah","#890012","#7e8083","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png"
"Utah State","#949ca1","#003263","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png"
"UTEP","#ff8200","#041e42","http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png"
